,Date,Hour,PM2_MIN,PM2_MAX,PM2_AVG
171,2019-09-04,13,7.0,12.0,9.0
172,2019-09-04,14,6.0,11.0,8.0
173,2019-09-04,15,4.885441092575736,11.872077493954642,7.924264557322987
174,2019-09-04,16,6.0,10.0,8.0
175,2019-09-04,17,6.0,10.0,8.0
176,2019-09-04,18,6.0,10.0,8.0
177,2019-09-04,19,6.0,10.0,8.0
178,2019-09-04,20,6.0,9.0,7.0
179,2019-09-04,21,6.0,9.0,7.0
180,2019-09-04,22,6.0,9.0,7.0
181,2019-09-04,23,6.0,8.0,7.0
182,2019-09-05,0,6.0,8.0,7.0
183,2019-09-05,1,6.0,8.0,7.0
184,2019-09-05,2,6.0,8.0,7.0
185,2019-09-05,3,6.0,8.0,7.0
186,2019-09-05,4,6.0,8.0,7.0
187,2019-09-05,5,6.0,8.0,7.0
188,2019-09-05,6,6.0,8.0,7.0
189,2019-09-05,7,6.0,7.0,6.0
190,2019-09-05,8,6.0,7.0,6.0
191,2019-09-05,9,6.0,7.0,6.0
192,2019-09-05,10,6.0,7.0,6.0
193,2019-09-05,11,6.0,8.0,7.0
194,2019-09-05,12,6.0,8.0,7.0
195,2019-09-05,13,6.0,8.0,7.0
196,2019-09-05,14,6.0,8.0,7.0
197,2019-09-05,15,6.0,8.0,7.0
198,2019-09-05,16,6.0,8.0,7.0
199,2019-09-05,17,6.0,8.0,7.0
200,2019-09-05,19,4.015031102021827,8.746461523030057,6.136702380378456
201,2019-09-05,20,6.0,8.0,7.0
202,2019-09-05,21,6.0,8.0,7.0
203,2019-09-05,22,6.0,8.0,7.0
204,2019-09-05,23,6.0,8.0,7.0
205,2019-09-06,0,6.0,8.0,7.0
206,2019-09-06,1,6.0,8.0,7.0
207,2019-09-06,2,7.0,8.0,7.0
208,2019-09-06,3,7.0,8.0,7.0
209,2019-09-06,4,6.0,8.0,7.0
210,2019-09-06,5,6.0,8.0,7.0
211,2019-09-06,6,6.0,8.0,7.0
212,2019-09-06,7,6.0,8.0,7.0
213,2019-09-06,8,6.0,8.0,7.0
214,2019-09-06,9,6.0,8.0,7.0
215,2019-09-06,10,6.0,8.0,7.0
216,2019-09-06,11,6.0,8.0,7.0
217,2019-09-06,12,6.0,8.0,7.0
218,2019-09-06,13,6.0,8.0,7.0
219,2019-09-06,14,6.0,8.0,7.0
220,2019-09-06,15,6.0,8.0,7.0
221,2019-09-06,16,6.0,8.0,7.0
222,2019-09-06,17,6.0,8.0,7.0
223,2019-09-06,18,6.0,8.0,7.0
224,2019-09-06,19,6.0,8.0,7.0
225,2019-09-06,20,6.0,8.0,7.0
226,2019-09-06,21,6.0,8.0,7.0
227,2019-09-06,22,6.0,8.0,7.0
228,2019-09-06,23,6.0,8.0,7.0
229,2019-09-07,0,6.0,8.0,7.0
230,2019-09-07,1,6.0,8.0,7.0
231,2019-09-07,2,6.0,8.0,7.0
232,2019-09-07,3,6.0,8.0,7.0
233,2019-09-07,4,6.0,8.0,7.0
234,2019-09-07,5,6.0,8.0,7.0
235,2019-09-07,6,6.0,8.0,7.0
236,2019-09-07,7,6.0,8.0,7.0
237,2019-09-07,8,6.0,8.0,7.0
238,2019-09-07,9,6.0,8.0,7.0
239,2019-09-07,10,6.0,8.0,7.0
240,2019-09-07,11,6.0,8.0,7.0
241,2019-09-07,12,7.0,8.0,7.0
242,2019-09-07,13,7.0,8.0,7.0
243,2019-09-07,14,6.0,8.0,7.0
244,2019-09-07,15,6.0,8.0,7.0
245,2019-09-07,16,6.0,8.0,7.0
246,2019-09-07,17,6.0,8.0,7.0
247,2019-09-07,18,6.0,8.0,7.0
248,2019-09-07,19,6.0,8.0,7.0
249,2019-09-07,20,6.0,8.0,7.0
250,2019-09-07,21,6.0,8.0,7.0
251,2019-09-07,22,6.0,8.0,7.0
252,2019-09-07,23,6.0,8.0,7.0
253,2019-09-08,0,6.0,8.0,7.0
254,2019-09-08,1,6.0,8.0,7.0
255,2019-09-08,2,6.0,8.0,7.0
256,2019-09-08,3,6.0,8.0,7.0
257,2019-09-08,4,6.0,8.0,7.0
258,2019-09-08,5,6.0,8.0,7.0
259,2019-09-08,6,6.0,9.0,7.0
260,2019-09-08,7,6.0,9.0,7.0
261,2019-09-08,8,6.0,10.0,8.0
262,2019-09-08,9,6.0,10.0,8.0
263,2019-09-08,10,6.0,11.0,8.0
